12345678A,Juan,Pérez Martínez,juan.perez@gmail.com,666666666,32,hombre,8,10,1,muy buena aplicación,mejorar la interfaz,9
87654321B,Ana,García Ruiz,ana.garcia@gmail.com,666666666,29,mujer,6,8,1,buena aplicación,añadir más funcionalidades,8
12312345C,Pedro,Santana Moreno,pedro.santana@gmail.com,666666666,38,hombre,7,7,0,aplicación confusa,simplificar el uso,5
45678901D,Sandra,Castro Gómez,sandra.castro@gmail.com,666666666,26,otro,9,6,1,excelente aplicación,nada que sugerir,10
78945612E,Pablo,Martínez López,pablo.martinez@gmail.com,666666666,35,hombre,5,5,1,buena aplicación,mejorar la velocidad,7
90817263F,Laura,Rodríguez Sánchez,laura.rodriguez@gmail.com,666666666,28,mujer,8,10,0,mala aplicación,cambiar el diseño,2
17263F90G,Sergio,Fernández Ruiz,sergio.fernandez@gmail.com,666666666,32,hombre,9,7,1,genial aplicación,nada que sugerir,10
26309871H,Rocío,González Díaz,rocio.gonzalez@gmail.com,666666666,27,otro,6,9,1,muy buena aplicación,añadir más funcionalidades,9
98710263I,Ángela,Jiménez Moreno,angela.jimenez@gmail.com,666666666,30,mujer,7,8,1,buena aplicación,mejorar la interfaz,8
36198702J,Mario,Romero Martín,mario.romero@gmail.com,666666666,35,otro,8,6,0,aplicación confusa,simplificar el uso,5
19870236K,Cristina,Sáez Gómez,cristina.saez@gmail.com,666666666,26,mujer,9,5,1,excelente aplicación,nada que sugerir,10
